tech,year,patents
Mobility & Locomotion,1996,12.0
Mobility & Locomotion,1997,2.1666666666666665
Mobility & Locomotion,1998,34.333333333333336
Mobility & Locomotion,1999,4.0
Mobility & Locomotion,2000,26.666666666666668
Mobility & Locomotion,2001,33.333333333333336
Mobility & Locomotion,2002,16.16666666666667
Mobility & Locomotion,2003,25.999999999999993
Mobility & Locomotion,2004,24.333333333333325
Mobility & Locomotion,2005,10.333333333333334
Mobility & Locomotion,2006,18.833333333333332
Mobility & Locomotion,2007,38.33333333333333
Mobility & Locomotion,2008,28.33333333333333
Mobility & Locomotion,2009,13.333333333333334
Mobility & Locomotion,2010,10.166666666666668
Mobility & Locomotion,2011,7.666666666666663
Mobility & Locomotion,2012,12.333333333333334
Mobility & Locomotion,2013,19.166666666666664
Mobility & Locomotion,2014,45.16666666666668
Mobility & Locomotion,2015,114.66666666666664
Mobility & Locomotion,2016,41.000000000000014
Mobility & Locomotion,2017,49.666666666666686
Mobility & Locomotion,2018,58.50000000000003
Mobility & Locomotion,2019,48.66666666666669
Mobility & Locomotion,2020,85.16666666666664
Mobility & Locomotion,2021,84.66666666666661
Mobility & Locomotion,2022,93.99999999999997
Mobility & Locomotion,2023,53.00000000000001
Mobility & Locomotion,2024,49.66666666666667
Mobility & Locomotion,2025,17.166666666666668
Actuation & Joints,1978,0.0
Actuation & Joints,1979,0.0
Actuation & Joints,1980,0.0
Actuation & Joints,1981,0.0
Actuation & Joints,1982,0.0
Actuation & Joints,1983,0.0
Actuation & Joints,1984,0.0
Actuation & Joints,1985,0.0
Actuation & Joints,1986,0.0
Actuation & Joints,1987,0.0
Actuation & Joints,1988,0.0
Actuation & Joints,1989,0.0
Actuation & Joints,1990,2.0
Actuation & Joints,1991,3.0
Actuation & Joints,1992,0.0
Actuation & Joints,1993,1.0
Actuation & Joints,1994,3.5
Actuation & Joints,1995,3.8333333333333335
Actuation & Joints,1996,15.5
Actuation & Joints,1997,9.833333333333332
Actuation & Joints,1998,16.000000000000004
Actuation & Joints,1999,5.0
Actuation & Joints,2000,20.333333333333325
Actuation & Joints,2001,10.166666666666668
Actuation & Joints,2002,20.499999999999996
Actuation & Joints,2003,44.66666666666668
Actuation & Joints,2004,36.49999999999999
Actuation & Joints,2005,58.66666666666667
Actuation & Joints,2006,48.33333333333334
Actuation & Joints,2007,50.83333333333333
Actuation & Joints,2008,17.5
Actuation & Joints,2009,19.666666666666668
Actuation & Joints,2010,39.33333333333335
Actuation & Joints,2011,28.333333333333332
